fecha,hora,puerto,mmsi,nombre,distancia_m,zona
2026-09-05,16:50:11,Terminal 6 S.A. Muelle Norte,636015600,F. F GLORY,149.3,SanLorenzo
2026-09-05,16:50:11,Puerto Rosario S. A. Terminal 1,477754600,MAERSK VENEZIA,68.1,SanLorenzo
2026-09-05,16:50:11,Louis Dreyfus y Cia. Ltda. Timbúes,341694002,H7 HSB5,334.9,SanLorenzo
2026-09-05,16:50:11,Terminal 6 S.A. Muelle Sur,538004481,AGIA PARASKEVI,139.1,SanLorenzo
2026-09-05,16:50:11,Cofco S.A.,636024698,MC CALYPSO,144.7,SanLorenzo
2026-09-05,16:50:11,Unidad VI Servicios Portuarios S.A.,538010750,TOKYO SPIRIT,182.6,SanLorenzo
2026-09-05,16:50:11,Central Termoeléctrica Timbués Renova,636093258,EMMA JANNEKE,286.8,SanLorenzo
2026-09-05,16:50:11,Bunge - La Plata Cereal S.A. Muelle Dempa,256685000,RODINA,152.0,SanLorenzo
2026-09-05,16:50:11,Central Termoeléctrica Timbués Renova,563234800,IVS DUNES,159.8,SanLorenzo
2026-09-05,16:50:11,Bunge - La Plata Cereal S.A.,538004184,BLACK PEARL,189.7,SanLorenzo
2026-09-05,16:50:11,Terminal Chacabuco YPF,701001114,IGUAZU,117.1,SanLorenzo
2026-09-05,16:50:11,Terminal Chacabuco YPF,701001057,VALENTINA H,123.1,SanLorenzo
2026-09-05,16:50:11,Terminal Chacabuco YPF,701001307,MAX DREAM,99.4,SanLorenzo
2026-09-05,16:50:11,Cargill S.A. Villa Gdor. Gálvez,241624000,LEGEND,322.1,SanLorenzo
2026-09-05,16:50:11,Mosaic S.A. Muelle De Fertilizantes,352006388,NORSE BORNHOLM,187.0,SanLorenzo
2026-09-05,16:50:11,Unidad VI Servicios Portuarios S.A.,538012594,KAPETANIOS,154.4,SanLorenzo
2026-09-05,16:50:11,Molinos Rí­o De La Plata,256672000,ARIETTA,370.8,SanLorenzo
2026-09-05,16:50:11,Terminal Chacabuco YPF,701001324,HALCON,116.9,SanLorenzo
2026-09-05,16:50:11,Axion San Lorenzo,538009801,HELIOS,156.7,SanLorenzo
2026-09-05,16:50:11,Puerto San Lorenzo,563163900,ANNA SCHULTE,109.4,SanLorenzo
2026-09-05,16:50:11,Cargill S.A. Muelle Quebracho,538008936,SOUND YOUNG,217.0,SanLorenzo
2026-09-05,16:50:11,Yeruvá S.A.,701006297,ANTONIO MARIA FERRO,102.1,SanLorenzo
2026-09-05,16:50:11,ADM Agro Terminal El Tránsito,563033900,TORM SUPREME,87.7,SanLorenzo
2026-09-05,16:50:11,Cofco S.A.,701006396,VB RECOLETA,221.3,SanLorenzo
2026-09-05,16:50:11,Puerto Diamante,701006803,ANTONIO PUGLIESE,452.6,SanLorenzo
2026-09-05,16:50:11,Cargill S.A. Punta Alvear,538011430,SOFIA,111.5,SanLorenzo
2026-09-05,16:50:11,Axion San Lorenzo,538009801,HELIOS,156.5,Rosario
2026-09-05,16:50:11,Vicentin S.A.I.C,357458000,BULK ITALY,198.1,Rosario
2026-09-05,16:50:11,Puerto Rosario S. A. Terminal 1,477754600,MAERSK VENEZIA,68.1,Rosario
2026-09-05,16:50:11,Unidad VI Servicios Portuarios S.A.,538010750,TOKYO SPIRIT,182.6,Rosario
2026-09-05,16:50:11,Bunge - La Plata Cereal S.A. Muelle Dempa,256685000,RODINA,152.0,Rosario
2026-09-05,16:50:11,Bunge - La Plata Cereal S.A.,538004184,BLACK PEARL,189.7,Rosario
2026-09-05,16:50:11,Cargill S.A. Villa Gdor. Gálvez,241624000,LEGEND,322.1,Rosario
2026-09-05,16:50:11,Mosaic S.A. Muelle De Fertilizantes,352006388,NORSE BORNHOLM,187.0,Rosario
2026-09-05,16:50:11,Louis Dreyfus y Cia. Ltda. Muelle Aceitero,538008276,PORT IMABARI,218.2,Rosario
2026-09-05,16:50:11,Puerto Villa Constitución Unidad II,701006679,,81.4,Rosario
2026-09-05,16:50:11,Unidad VI Servicios Portuarios S.A.,538012594,KAPETANIOS,154.4,Rosario
2026-09-05,16:50:11,Molinos Rí­o De La Plata,256672000,ARIETTA,370.8,Rosario
2026-09-05,16:50:11,Puerto San Lorenzo,563163900,ANNA SCHULTE,109.4,Rosario
2026-09-05,16:50:11,Cargill S.A. Muelle Quebracho,538008936,SOUND YOUNG,217.0,Rosario
2026-09-05,16:50:11,Yeruvá S.A.,701006297,ANTONIO MARIA FERRO,102.1,Rosario
2026-09-05,16:50:11,Cofco S.A.,701006396,VB RECOLETA,221.3,Rosario
2026-09-05,16:50:11,Cargill S.A. Punta Alvear,538011430,SOFIA,111.5,Rosario
2026-09-05,16:50:11,Carboclor S.A.,215622000,TAXIDIARA,115.8,DelGuazu
2026-09-05,16:50:11,Siderca S.A.,636019109,JY LAKE,377.4,DelGuazu
2026-09-05,16:50:11,Terminal Zarate S.A.,636025521,ITHACA,133.5,DelGuazu
2026-09-05,16:50:11,Terminal Zarate S.A.,755138000,INCANSABLE,63.3,DelGuazu
2026-09-05,16:50:11,Esso S.a.p.a.,701137000,PUNTA PIRAMIDES,446.6,DelGuazu
2026-09-05,16:50:11,Maripasa S.A.,701006643,DON RAXYZ,212.7,DelGuazu
2026-09-05,16:50:11,Maripasa S.A.,755201178,NUAR B.,188.0,DelGuazu
2026-09-05,16:50:11,Puerto Buenos Aires,352004466,ASTURIANO III,339.3,Braga
2026-09-05,16:50:11,Puerto Buenos Aires,755043000,AVA PAYAGUA,205.3,Braga
2026-09-05,16:50:11,Puerto Barranqueras,701006277,RAP,460.4,BellaVista
2026-09-05,17:00:15,Muelle Alumbrera,564751000,,175.8,SanLorenzo
2026-09-05,17:00:15,Cofco Internacional Argentina S.A.,563169800,RUBY,148.9,SanLorenzo
2026-09-05,17:00:15,Vicentin S.A.I.C,357458000,BULK ITALY,199.3,SanLorenzo
2026-09-05,17:00:15,Terminal 6 S.A. Muelle Norte,636015600,F. F GLORY,144.8,SanLorenzo
2026-09-05,17:00:15,Puerto Rosario S. A. Terminal 1,477754600,MAERSK VENEZIA,67.8,SanLorenzo
2026-09-05,17:00:15,Terminal 6 S.A. Muelle Sur,538004481,AGIA PARASKEVI,126.5,SanLorenzo
2026-09-05,17:00:15,Louis Dreyfus y Cia. Ltda. Timbúes,341694002,H7 HSB5,331.5,SanLorenzo
2026-09-05,17:00:15,Unidad VI Servicios Portuarios S.A.,538010750,TOKYO SPIRIT,183.0,SanLorenzo
2026-09-05,17:00:15,Cofco S.A.,636024698,MC CALYPSO,145.2,SanLorenzo
2026-09-05,17:00:15,Central Termoeléctrica Timbués Renova,636093258,EMMA JANNEKE,290.7,SanLorenzo
2026-09-05,17:00:15,Bunge - La Plata Cereal S.A. Muelle Dempa,256685000,RODINA,150.7,SanLorenzo
2026-09-05,17:00:15,Central Termoeléctrica Timbués Renova,563234800,IVS DUNES,163.4,SanLorenzo
2026-09-05,17:00:15,Bunge - La Plata Cereal S.A.,538004184,BLACK PEARL,186.1,SanLorenzo
2026-09-05,17:00:15,Terminal Chacabuco YPF,701001114,IGUAZU,117.9,SanLorenzo
2026-09-05,17:00:15,Terminal Chacabuco YPF,701001057,VALENTINA H,125.0,SanLorenzo
2026-09-05,17:00:15,Terminal Chacabuco YPF,701001307,MAX DREAM,99.7,SanLorenzo
2026-09-05,17:00:15,Cargill S.A. Villa Gdor. Gálvez,241624000,LEGEND,321.5,SanLorenzo
2026-09-05,17:00:15,Mosaic S.A. Muelle De Fertilizantes,352006388,NORSE BORNHOLM,185.7,SanLorenzo
2026-09-05,17:00:15,Louis Dreyfus y Cia. Ltda. Muelle Aceitero,538008276,,216.3,SanLorenzo
2026-09-05,17:00:15,Unidad VI Servicios Portuarios S.A.,538012594,KAPETANIOS,156.7,SanLorenzo
2026-09-05,17:00:15,Molinos Rí­o De La Plata,256672000,ARIETTA,374.3,SanLorenzo
2026-09-05,17:00:15,Terminal Chacabuco YPF,701001324,HALCON,116.0,SanLorenzo
2026-09-05,17:00:15,Axion San Lorenzo,538009801,HELIOS,159.0,SanLorenzo
2026-09-05,17:00:15,Puerto San Lorenzo,563163900,ANNA SCHULTE,106.5,SanLorenzo
2026-09-05,17:00:15,Cargill S.A. Muelle Quebracho,538008936,SOUND YOUNG,216.3,SanLorenzo
2026-09-05,17:00:15,ADM Agro Terminal El Tránsito,563033900,TORM SUPREME,92.3,SanLorenzo
2026-09-05,17:00:15,Cofco S.A.,701006396,VB RECOLETA,221.3,SanLorenzo
2026-09-05,17:00:15,Puerto Diamante,701006803,ANTONIO PUGLIESE,453.3,SanLorenzo
2026-09-05,17:00:15,Cargill S.A. Punta Alvear,538011430,SOFIA,109.2,SanLorenzo
2026-09-05,17:00:15,Yeruvá S.A.,701006297,ANTONIO MARIA FERRO,100.3,SanLorenzo
2026-09-05,17:00:15,Puerto Villa Constitución Unidad II,701006679,,71.0,Rosario
2026-09-05,17:00:15,Vicentin S.A.I.C,357458000,BULK ITALY,199.3,Rosario
2026-09-05,17:00:15,Puerto Rosario S. A. Terminal 1,477754600,MAERSK VENEZIA,67.8,Rosario
2026-09-05,17:00:15,Unidad VI Servicios Portuarios S.A.,538010750,TOKYO SPIRIT,183.0,Rosario
2026-09-05,17:00:15,Bunge - La Plata Cereal S.A. Muelle Dempa,256685000,RODINA,150.7,Rosario
2026-09-05,17:00:15,Bunge - La Plata Cereal S.A.,538004184,BLACK PEARL,186.1,Rosario
2026-09-05,17:00:15,Cargill S.A. Villa Gdor. Gálvez,241624000,LEGEND,321.5,Rosario
2026-09-05,17:00:15,Mosaic S.A. Muelle De Fertilizantes,352006388,NORSE BORNHOLM,185.7,Rosario
2026-09-05,17:00:15,Louis Dreyfus y Cia. Ltda. Muelle Aceitero,538008276,PORT IMABARI,216.3,Rosario
2026-09-05,17:00:15,Unidad VI Servicios Portuarios S.A.,538012594,KAPETANIOS,156.7,Rosario
2026-09-05,17:00:15,Molinos Rí­o De La Plata,256672000,ARIETTA,374.3,Rosario
2026-09-05,17:00:15,Axion San Lorenzo,538009801,HELIOS,159.0,Rosario
2026-09-05,17:00:15,Puerto San Lorenzo,563163900,ANNA SCHULTE,106.5,Rosario
2026-09-05,17:00:15,Cargill S.A. Muelle Quebracho,538008936,SOUND YOUNG,216.3,Rosario
2026-09-05,17:00:15,Cofco S.A.,701006396,VB RECOLETA,221.3,Rosario
2026-09-05,17:00:15,Cargill S.A. Punta Alvear,538011430,SOFIA,109.2,Rosario
2026-09-05,17:00:15,Yeruvá S.A.,701006297,ANTONIO MARIA FERRO,100.3,Rosario
2026-09-05,17:00:15,Carboclor S.A.,215622000,TAXIDIARA,111.8,DelGuazu
2026-09-05,17:00:15,Siderca S.A.,636019109,JY LAKE,374.9,DelGuazu
2026-09-05,17:00:15,Terminal Zarate S.A.,636025521,ITHACA,129.6,DelGuazu
2026-09-05,17:00:15,Esso S.a.p.a.,701137000,PUNTA PIRAMIDES,446.5,DelGuazu
2026-09-05,17:00:15,R.h.a.s.a. - Pobater,701006318,MAMACOTA,158.4,DelGuazu
2026-09-05,17:00:15,R.h.a.s.a. - Pobater,701006513,AMANCAY,159.3,DelGuazu
2026-09-05,17:00:15,Terminal Zarate S.A.,755138000,INCANSABLE,63.2,DelGuazu
2026-09-05,17:00:15,Maripasa S.A.,755201178,NUAR B.,187.9,DelGuazu
2026-09-05,17:00:15,Maripasa S.A.,701006643,DON RAXYZ,212.8,DelGuazu
2026-09-05,17:00:15,Carboclor S.A.,215622000,,113.5,Braga
2026-09-05,17:00:15,Maripasa S.A.,755201178,,188.0,Braga
2026-09-05,17:00:15,Puerto Buenos Aires,352004466,ASTURIANO III,338.6,Braga
2026-09-05,17:00:15,Siderca S.A.,636019109,,374.9,Braga
2026-09-05,17:00:15,Esso S.a.p.a.,701137000,,446.5,Braga
2026-09-05,17:00:15,Maripasa S.A.,701006643,,212.6,Braga
2026-09-05,17:00:15,Puerto Buenos Aires,755043000,AVA PAYAGUA,204.2,Braga
2026-09-05,17:00:15,Puerto Barranqueras,701006277,RAP,458.1,BellaVista
2026-09-05,17:10:42,Muelle Alumbrera,564751000,,174.7,SanLorenzo
2026-09-05,17:10:42,Unidad VI Servicios Portuarios S.A.,538010750,TOKYO SPIRIT,182.7,SanLorenzo
2026-09-05,17:10:42,Cofco Internacional Argentina S.A.,563169800,RUBY,148.7,SanLorenzo
2026-09-05,17:10:42,Vicentin S.A.I.C,357458000,BULK ITALY,200.3,SanLorenzo
2026-09-05,17:10:42,Terminal 6 S.A. Muelle Norte,636015600,F. F GLORY,152.2,SanLorenzo
2026-09-05,17:10:42,Puerto Rosario S. A. Terminal 1,477754600,MAERSK VENEZIA,68.2,SanLorenzo
2026-09-05,17:10:42,Terminal 6 S.A. Muelle Sur,538004481,AGIA PARASKEVI,133.6,SanLorenzo
2026-09-05,17:10:42,Louis Dreyfus y Cia. Ltda. Timbúes,341694002,H7 HSB5,333.6,SanLorenzo
2026-09-05,17:10:42,Cofco S.A.,636024698,MC CALYPSO,145.2,SanLorenzo
2026-09-05,17:10:42,Central Termoeléctrica Timbués Renova,636093258,EMMA JANNEKE,291.2,SanLorenzo
2026-09-05,17:10:42,Bunge - La Plata Cereal S.A. Muelle Dempa,256685000,RODINA,150.9,SanLorenzo
2026-09-05,17:10:42,Central Termoeléctrica Timbués Renova,563234800,IVS DUNES,160.5,SanLorenzo
2026-09-05,17:10:42,Bunge - La Plata Cereal S.A.,538004184,BLACK PEARL,186.6,SanLorenzo
2026-09-05,17:10:42,Terminal Chacabuco YPF,701001114,IGUAZU,118.0,SanLorenzo
2026-09-05,17:10:42,Terminal Chacabuco YPF,701001057,VALENTINA H,124.1,SanLorenzo
2026-09-05,17:10:42,Terminal Chacabuco YPF,701001307,MAX DREAM,99.4,SanLorenzo
2026-09-05,17:10:42,Cargill S.A. Villa Gdor. Gálvez,241624000,LEGEND,320.6,SanLorenzo
2026-09-05,17:10:42,Mosaic S.A. Muelle De Fertilizantes,352006388,NORSE BORNHOLM,186.5,SanLorenzo
2026-09-05,17:10:42,Unidad VI Servicios Portuarios S.A.,538012594,KAPETANIOS,147.6,SanLorenzo
2026-09-05,17:10:42,Terminal Chacabuco YPF,701001324,HALCON,116.4,SanLorenzo
2026-09-05,17:10:42,Molinos Rí­o De La Plata,256672000,ARIETTA,380.1,SanLorenzo
2026-09-05,17:10:42,Axion San Lorenzo,538009801,HELIOS,157.6,SanLorenzo
2026-09-05,17:10:42,Puerto San Lorenzo,563163900,ANNA SCHULTE,105.2,SanLorenzo
2026-09-05,17:10:42,Cargill S.A. Muelle Quebracho,538008936,SOUND YOUNG,218.0,SanLorenzo
2026-09-05,17:10:42,Yeruvá S.A.,701006297,ANTONIO MARIA FERRO,100.3,SanLorenzo
2026-09-05,17:10:42,ADM Agro Terminal El Tránsito,563033900,TORM SUPREME,89.2,SanLorenzo
2026-09-05,17:10:42,Cofco S.A.,701006396,VB RECOLETA,221.6,SanLorenzo
2026-09-05,17:10:42,Puerto Diamante,701006803,ANTONIO PUGLIESE,452.8,SanLorenzo
2026-09-05,17:10:42,Cargill S.A. Punta Alvear,538011430,SOFIA,110.4,SanLorenzo
2026-09-05,17:10:42,Cofco S.A.,636024698,,145.2,Rosario
2026-09-05,17:10:42,Axion San Lorenzo,538009801,HELIOS,161.6,Rosario
2026-09-05,17:10:42,Puerto Villa Constitución Unidad II,701006242,,302.4,Rosario
2026-09-05,17:10:42,Vicentin S.A.I.C,357458000,BULK ITALY,200.3,Rosario
2026-09-05,17:10:42,Puerto Rosario S. A. Terminal 1,477754600,MAERSK VENEZIA,68.2,Rosario
2026-09-05,17:10:42,Unidad VI Servicios Portuarios S.A.,538010750,TOKYO SPIRIT,182.7,Rosario
2026-09-05,17:10:42,Bunge - La Plata Cereal S.A. Muelle Dempa,256685000,RODINA,150.9,Rosario
2026-09-05,17:10:42,Bunge - La Plata Cereal S.A.,538004184,BLACK PEARL,186.6,Rosario
2026-09-05,17:10:42,Cargill S.A. Villa Gdor. Gálvez,241624000,LEGEND,320.6,Rosario
2026-09-05,17:10:42,Mosaic S.A. Muelle De Fertilizantes,352006388,NORSE BORNHOLM,186.5,Rosario
2026-09-05,17:10:42,Louis Dreyfus y Cia. Ltda. Muelle Aceitero,538008276,PORT IMABARI,214.9,Rosario
2026-09-05,17:10:42,Unidad VI Servicios Portuarios S.A.,538012594,KAPETANIOS,147.6,Rosario
2026-09-05,17:10:42,Molinos Rí­o De La Plata,256672000,ARIETTA,380.1,Rosario
2026-09-05,17:10:42,Puerto San Lorenzo,563163900,ANNA SCHULTE,105.2,Rosario
2026-09-05,17:10:42,Cargill S.A. Muelle Quebracho,538008936,SOUND YOUNG,218.0,Rosario
2026-09-05,17:10:42,Cofco S.A.,701006396,VB RECOLETA,221.0,Rosario
2026-09-05,17:10:42,Yeruvá S.A.,701006297,ANTONIO MARIA FERRO,100.3,Rosario
2026-09-05,17:10:42,Puerto Villa Constitución Unidad II,701006679,,68.8,Rosario
2026-09-05,17:10:42,Cargill S.A. Punta Alvear,538011430,SOFIA,110.4,Rosario
2026-09-05,17:10:42,Carboclor S.A.,215622000,TAXIDIARA,110.8,DelGuazu
2026-09-05,17:10:42,Siderca S.A.,636019109,JY LAKE,377.6,DelGuazu
2026-09-05,17:10:42,Terminal Zarate S.A.,636025521,ITHACA,132.1,DelGuazu
2026-09-05,17:10:42,Maripasa S.A.,701006643,DON RAXYZ,212.3,DelGuazu
2026-09-05,17:10:42,Esso S.a.p.a.,701007053,B/T NANY,169.4,DelGuazu
2026-09-05,17:10:42,Terminal Zarate S.A.,755138000,INCANSABLE,64.8,DelGuazu
2026-09-05,17:10:42,Esso S.a.p.a.,701137000,PUNTA PIRAMIDES,446.8,DelGuazu
2026-09-05,17:10:42,Maripasa S.A.,755201178,NUAR B.,187.1,DelGuazu
2026-09-05,17:10:42,Puerto Buenos Aires,352004466,ASTURIANO III,340.5,Braga
2026-09-05,17:10:42,Terminal Zarate S.A.,755138000,,64.8,Braga
2026-09-05,17:10:42,Puerto Buenos Aires,755043000,AVA PAYAGUA,204.4,Braga
2026-09-05,17:10:42,Puerto Barranqueras,701006277,RAP,457.2,BellaVista
2026-09-05,17:20:39,Cofco Internacional Argentina S.A.,563169800,RUBY,147.7,SanLorenzo
2026-09-05,17:20:39,Vicentin S.A.I.C,357458000,BULK ITALY,198.4,SanLorenzo
2026-09-05,17:20:39,Puerto Rosario S. A. Terminal 1,477754600,MAERSK VENEZIA,67.8,SanLorenzo
2026-09-05,17:20:39,Terminal 6 S.A. Muelle Norte,636015600,F. F GLORY,146.4,SanLorenzo
2026-09-05,17:20:39,Terminal 6 S.A. Muelle Sur,538004481,AGIA PARASKEVI,126.5,SanLorenzo
2026-09-05,17:20:39,Louis Dreyfus y Cia. Ltda. Timbúes,341694002,H7 HSB5,337.0,SanLorenzo
2026-09-05,17:20:39,Unidad VI Servicios Portuarios S.A.,538010750,TOKYO SPIRIT,182.6,SanLorenzo
2026-09-05,17:20:39,Cofco S.A.,636024698,MC CALYPSO,145.8,SanLorenzo
2026-09-05,17:20:39,Central Termoeléctrica Timbués Renova,636093258,EMMA JANNEKE,288.2,SanLorenzo
2026-09-05,17:20:39,Bunge - La Plata Cereal S.A. Muelle Dempa,256685000,RODINA,151.7,SanLorenzo
2026-09-05,17:20:39,Central Termoeléctrica Timbués Renova,563234800,IVS DUNES,161.4,SanLorenzo
2026-09-05,17:20:39,Bunge - La Plata Cereal S.A.,538004184,BLACK PEARL,186.2,SanLorenzo
2026-09-05,17:20:39,Terminal Chacabuco YPF,701001114,IGUAZU,117.0,SanLorenzo
2026-09-05,17:20:39,Terminal Chacabuco YPF,701001057,VALENTINA H,124.7,SanLorenzo
2026-09-05,17:20:39,Terminal Chacabuco YPF,701001307,MAX DREAM,99.3,SanLorenzo
2026-09-05,17:20:39,Cargill S.A. Villa Gdor. Gálvez,241624000,LEGEND,322.0,SanLorenzo
2026-09-05,17:20:39,Mosaic S.A. Muelle De Fertilizantes,352006388,NORSE BORNHOLM,186.0,SanLorenzo
2026-09-05,17:20:39,Unidad VI Servicios Portuarios S.A.,538012594,KAPETANIOS,154.1,SanLorenzo
2026-09-05,17:20:39,Molinos Rí­o De La Plata,256672000,ARIETTA,375.1,SanLorenzo
2026-09-05,17:20:39,Terminal Chacabuco YPF,701001324,HALCON,115.8,SanLorenzo
